table_ref,doc_id,ticker,report_year,scope,source_unit,row_index,column_index,row_label,column_label,raw_value,numeric_value,base_value,is_dash,is_missing
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,0,Chi phí thuế TNDN hiện hành,Năm nay | Doanh thu,Chi phí thuế TNDN hiện hành,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,1,Chi phí thuế TNDN hiện hành,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,2,Chi phí thuế TNDN hiện hành,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,3,Chi phí thuế TNDN hiện hành,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,4,Chi phí thuế TNDN hiện hành,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,11,5,Chi phí thuế TNDN hiện hành,VND Tổng cộng | Năm nay,(1.282.537.116.919),-1282537116919.0,-1282537116919.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,0,Chi phí thuế TNDN hoãn lại,Năm nay | Doanh thu,Chi phí thuế TNDN hoãn lại,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,1,Chi phí thuế TNDN hoãn lại,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,2,Chi phí thuế TNDN hoãn lại,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,3,Chi phí thuế TNDN hoãn lại,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,4,Chi phí thuế TNDN hoãn lại,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,12,5,Chi phí thuế TNDN hoãn lại,VND Tổng cộng | Năm nay,190.062.332.561,190062332561.0,190062332561.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,0,Lợi nhuận sau thuế TNDN trong năm,Năm nay | Doanh thu,Lợi nhuận sau thuế TNDN trong năm,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,1,Lợi nhuận sau thuế TNDN trong năm,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,2,Lợi nhuận sau thuế TNDN trong năm,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,3,Lợi nhuận sau thuế TNDN trong năm,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,4,Lợi nhuận sau thuế TNDN trong năm,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,13,5,Lợi nhuận sau thuế TNDN trong năm,VND Tổng cộng | Năm nay,3.733.288.228.720,3733288228720.0,3733288228720.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,0,Vào ngày 31 tháng 12 năm 2024,Năm nay | Doanh thu,Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,1,Vào ngày 31 tháng 12 năm 2024,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,2,Vào ngày 31 tháng 12 năm 2024,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,3,Vào ngày 31 tháng 12 năm 2024,Khác | Năm nay,Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,4,Vào ngày 31 tháng 12 năm 2024,Loại trừ | Năm nay,Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,14,5,Vào ngày 31 tháng 12 năm 2024,VND Tổng cộng | Năm nay,Vào ngày 31 tháng 12 năm 2024,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,0,Tài sản và nợ phải trả,Năm nay | Doanh thu,Tài sản và nợ phải trả,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,1,Tài sản và nợ phải trả,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,2,Tài sản và nợ phải trả,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,3,Tài sản và nợ phải trả,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,4,Tài sản và nợ phải trả,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,15,5,Tài sản và nợ phải trả,VND Tổng cộng | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,0,Tài sản của bộ phận,Năm nay | Doanh thu,Tài sản của bộ phận,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,1,Tài sản của bộ phận,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",47.900.323.904.448,47900323904448.0,47900323904448.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,2,Tài sản của bộ phận,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,11.432.641.286.535,11432641286535.0,11432641286535.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,3,Tài sản của bộ phận,Khác | Năm nay,10.988.992.202.980,10988992202980.0,10988992202980.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,4,Tài sản của bộ phận,Loại trừ | Năm nay,-,0.0,0.0,True,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,16,5,Tài sản của bộ phận,VND Tổng cộng | Năm nay,70.321.957.393.963,70321957393963.0,70321957393963.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,0,Tài sản không phân bổ,Năm nay | Doanh thu,Tài sản không phân bổ,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,1,Tài sản không phân bổ,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,2,Tài sản không phân bổ,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,3,Tài sản không phân bổ,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,4,Tài sản không phân bổ,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,17,5,Tài sản không phân bổ,VND Tổng cộng | Năm nay,115.818.327.641,115818327641.0,115818327641.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,0,Tổng tài sản,Năm nay | Doanh thu,Tổng tài sản,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,1,Tổng tài sản,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,2,Tổng tài sản,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,3,Tổng tài sản,Khác | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,4,Tổng tài sản,Loại trừ | Năm nay,,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,18,5,Tổng tài sản,VND Tổng cộng | Năm nay,70.437.775.721.604,70437775721604.0,70437775721604.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,0,Nợ phải trả của bộ phận,Năm nay | Doanh thu,Nợ phải trả của bộ phận,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,1,Nợ phải trả của bộ phận,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",29.478.138.627.853,29478138627853.0,29478138627853.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,2,Nợ phải trả của bộ phận,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,5.325.474.332.011,5325474332011.0,5325474332011.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,3,Nợ phải trả của bộ phận,Khác | Năm nay,7.512.585.937.885,7512585937885.0,7512585937885.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,4,Nợ phải trả của bộ phận,Loại trừ | Năm nay,-,0.0,0.0,True,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,19,5,Nợ phải trả của bộ phận,VND Tổng cộng | Năm nay,42.316.198.897.749,42316198897749.0,42316198897749.0,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,20,0,Tổng nợ phải trả,Năm nay | Doanh thu,Tổng nợ phải trả,,,False,False
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,20,1,Tổng nợ phải trả,"Điện thoại di động, máy tính và thiết bị điện tử | Năm nay",,,,False,True
MWG_financial_statements_2024_consolidated|table_57,MWG_financial_statements_2024_consolidated,MWG,2024,consolidated,VND,20,2,Tổng nợ phải trả,Thực phẩm và hàng tiêu dùng nhanh | Năm nay,,,,False,True
